States,CUDAMPF,GraphBLAS,CUSP,GraphBLAS_spec_1_prep,GraphBLAS_spec_1,GraphBLAS_spec_2_prep,GraphBLAS_spec_2,CUSP_spec_1_prep,CUSP_spec_1
100,3553,1530,148104,0,1054,20,2216,18,87113
200,3619,1961,199636,0,1358,68,8262,24,136969
300,3763,2489,199746,0,1759,147,17491,24,138181
400,3684,3012,211212,0,2187,150,16834,25,140363
500,3729,3512,203029,0,2606,166,19304,25,139540
600,3801,4029,204452,0,2980,190,23905,25,139642
700,4163,4535,257444,0,3373,265,27996,25,140441
800,3965,5020,257892,0,3771,426,37521,25,141164
900,4059,5554,256017,0,4175,607,48086,26,141157
1001,4218,6049,255599,0,4571,803,54691,26,141485
1100,4328,6553,258145,0,4963,1055,74055,26,141088
1200,4481,7035,259527,0,5347,1260,81437,26,141631
1301,4312,7537,259242,0,5763,1459,95237,26,141371
1400,4444,8043,258946,0,6129,1681,113256,26,141731
1509,4571,8575,259605,0,6565,1949,123798,26,142255
1600,4566,9032,271997,0,6916,2158,152593,26,143664
1705,4455,9561,260355,0,7335,2471,170739,26,141746
1799,4527,10023,258882,0,7684,2683,176607,29,142004
1901,4692,10604,259463,1,8074,2978,211704,27,143477
2050,4827,11390,260316,1,8804,3491,239844,27,142086
2138,4675,11868,261417,1,9162,3787,261044,27,143873
2207,4730,12206,308133,1,9431,4062,272546,27,142514
2365,4893,12967,306463,1,10048,4679,321337,27,140505
2405,4881,13178,308341,1,10198,4836,329210,27,144615
