States,CUDAMPF,GraphBLAS,CUSP,GraphBLAS_spec_1_prep,GraphBLAS_spec_1,GraphBLAS_spec_2_prep,GraphBLAS_spec_2,CUSP_spec_1_prep,CUSP_spec_1,cuASR,cuASR_spec_1_prep,cuASR_spec_1,cuASR_spec_2_prep,cuASR_spec_2
100,157,92,8918,0,62,19,133,18,5255,1054,2,515,27,314
200,162,115,11993,0,80,70,496,24,8210,1867,4,919,48,512
300,166,148,12003,0,106,148,1053,25,8303,2618,7,1292,71,703
400,177,179,12088,0,130,154,1007,25,8404,3426,13,1692,138,911
500,182,228,12148,0,155,177,1160,25,8356,4181,23,2066,176,1115
600,182,243,12217,0,180,200,1434,25,8355,4987,24,2466,281,1356
700,185,273,15509,0,204,277,1680,25,8445,5695,32,2815,403,1565
800,189,305,15497,0,228,437,2249,25,8439,6537,57,3215,591,2514
900,192,363,15420,0,253,638,2902,26,8501,7292,72,3580,770,2735
1001,194,366,15377,0,277,792,3275,26,8466,7292,72,3580,770,2735
1100,198,429,15463,0,300,1102,4462,26,8506,8869,101,4348,1082,3478
1200,201,424,15588,0,323,1240,4888,26,8521,9711,127,4756,1460,3727
1301,202,494,15572,0,347,1537,5744,26,8495,10488,169,5130,1784,4231
1400,205,485,15519,0,370,1670,6772,26,8543,11314,168,5528,1915,4491
1509,208,520,15611,0,397,1956,7456,26,8573,12162,197,5935,2285,5032
1600,211,545,15565,0,419,2149,9142,26,8647,12992,230,6335,2795,5289
1705,214,577,15643,1,443,2470,10266,26,8535,13858,273,6747,3427,5842
1799,218,606,15548,1,464,2700,10635,29,8525,14643,316,7121,4092,6368
1901,223,637,15561,1,489,2959,12693,27,8634,15429,339,7492,4307,6637

